url,title,neighborhood,region,bedrooms,bathrooms,size_m2,price,date_published,category,type,listing_id,property_subtype,furnished
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3979734,"5 Bed House in Karen for KSh 68,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,68000000,2026-04-25 08:34:46+00:00,houses-for-sale/nairobi,sale,3979734,house,False
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-3972159,"4 Bed House in Muthaiga for KSh 299,000,000 | BuyRentKenya",Muthaiga,Muthaiga,4.0,4.0,,299000000,2026-04-25 08:16:44+00:00,houses-for-sale/nairobi,sale,3972159,house,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3979657,"5 Bed House in Runda for KSh 120,000,000 | BuyRentKenya",Runda,Westlands,5.0,5.0,,120000000,2026-04-25 07:06:56+00:00,houses-for-sale/nairobi,sale,3979657,house,False
https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kiambu-road-3967824,"5 Bed Townhouse in Kiambu Road for KSh 48,000,000 | BuyRentKenya",Kiambu Road,Kiambu Road,5.0,6.0,,48000000,2026-04-24 13:46:12+00:00,houses-for-sale/nairobi,sale,3967824,townhouse,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3968934,"5 Bed House in Runda for KSh 138,000,000 | BuyRentKenya",Runda,Westlands,5.0,6.0,,138000000,2026-04-24 13:46:13+00:00,houses-for-sale/nairobi,sale,3968934,house,False
https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-runda-3971400,"4 Bed House in Runda for KSh 150,000,000 | BuyRentKenya",Runda,Westlands,4.0,5.0,,150000000,2026-04-24 13:46:14+00:00,houses-for-sale/nairobi,sale,3971400,house,False
https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-kiambu-road-3947673,"6 Bed House in Kiambu Road for KSh 78,000,000 | BuyRentKenya",Kiambu Road,Kiambu Road,6.0,,,78000000,2026-03-25 11:52:12+00:00,houses-for-sale/nairobi,sale,3947673,house,False
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-kitisuru-3963170,"6 Bed Villa in Kitisuru for KSh 165,000,000 | BuyRentKenya",Kitisuru,Westlands,6.0,6.0,,165000000,2026-03-31 15:25:21+00:00,houses-for-sale/nairobi,sale,3963170,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3853871,"5 Bed House in Karen for KSh 80,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,630.0,80000000,2026-03-30 12:37:47+00:00,houses-for-sale/nairobi,sale,3853871,house,False
https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-3979622,"Serviced 5 Bed House at Hardy Area for KSh 130,000,000 | BuyRentKenya",Karen,Karen,5.0,5.0,,130000000,2026-04-24 21:03:29+00:00,houses-for-sale/nairobi,sale,3979622,house,True
https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-3924719,"4 Bed Townhouse in Kiambu Road for KSh 34,000,000 | BuyRentKenya",Kiambu Road,Kiambu Road,4.0,4.0,,34000000,2026-04-24 13:46:08+00:00,houses-for-sale/nairobi,sale,3924719,townhouse,False
https://www.buyrentkenya.com/listings/6-bedroom-villa-for-sale-waiyaki-way-3979612,"6 Bed Villa in Waiyaki Way for KSh 40,000,000 | BuyRentKenya",Waiyaki Way,Westlands,6.0,8.0,240.0,40000000,2026-04-24 16:26:56+00:00,houses-for-sale/nairobi,sale,3979612,villa,False
https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-waiyaki-way-3979610,"5 Bed Villa in Waiyaki Way for KSh 30,000,000 | BuyRentKenya",Waiyaki Way,Westlands,5.0,7.0,240.0,30000000,2026-04-24 16:19:44+00:00,houses-for-sale/nairobi,sale,3979610,villa,False
https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-waiyaki-way-3979608,"4 Bed Villa in Waiyaki Way for KSh 25,000,000 | BuyRentKenya",Waiyaki Way,Westlands,4.0,6.0,240.0,25000000,2026-04-24 16:12:04+00:00,houses-for-sale/nairobi,sale,3979608,villa,False
